source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,accelerateddecay,Accelerated Decay,21.0.0,neoforge,accelerated-decay-neoforge-21.0.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\accelerated-decay-neoforge-21.0.0.jar,10478
aeronaftics,actuallyadditions,Actually Additions,1.3.25,neoforge,actuallyadditions-1.3.25%2Bmc1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\actuallyadditions-1.3.25%2Bmc1.21.1.jar,3215755
aeronaftics,additional_lights,Additional Lights,2.1.10,neoforge,additional_lights-neoforge-1.21-2.1.10.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\additional_lights-neoforge-1.21-2.1.10.jar,514194
aeronaftics,advanced_ae,Advanced AE,1.6.11-1.21.1,neoforge,AdvancedAE-1.6.11-1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AdvancedAE-1.6.11-1.21.1.jar,4797100
aeronaftics,ae2,Applied Energistics 2,19.2.17,neoforge,appliedenergistics2-19.2.17.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\appliedenergistics2-19.2.17.jar,8230896
aeronaftics,ae2ct,AE2:Crafting Tree,1.21.1-1.1.1,neoforge,ae2ct-1.21.1-1.1.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ae2ct-1.21.1-1.1.1.jar,437906
aeronaftics,ae2importexportcard,AE2 Import Export Card,1.21.1-1.4.3,neoforge,ae2importexportcard-1.21.1-1.4.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ae2importexportcard-1.21.1-1.4.3.jar,190861
aeronaftics,ae2jeiintegration,AE2 JEI Integration,1.2.1,neoforge,ae2jeiintegration-1.2.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ae2jeiintegration-1.2.1.jar,91710
aeronaftics,ae2netanalyser,AE2NetworkAnalyzer,1.21-2.1.5-neoforge,neoforge,AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,1686091
aeronaftics,ae2wtlib,AE2WTLib,19.4.1,neoforge,ae2wtlib-19.4.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ae2wtlib-19.4.1.jar,242235
aeronaftics,aeinfinitybooster,AEInfinityBooster,1.21.1-1.0.0.54,neoforge,aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar,30409
aeronaftics,aether,The Aether,1.5.10,neoforge,aether-1.21.1-1.5.10-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\aether-1.21.1-1.5.10-neoforge.jar,40223909
aeronaftics,aiimprovements,AI-Improvements,${file.jarVersion},neoforge,AI-Improvements-1.21-0.5.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AI-Improvements-1.21-0.5.3.jar,28984
aeronaftics,akashictome,Akashic Tome,${file.jarVersion},neoforge,AkashicTome-1.8-30.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AkashicTome-1.8-30.jar,50256
aeronaftics,allthearcanistgear,All The Arcanist Gear,1.21.1-21.3.2,neoforge,allthearcanistgear-1.21.1-21.3.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\allthearcanistgear-1.21.1-21.3.2.jar,375904
aeronaftics,allthecompressed,AllTheCompressed,4.4.0,neoforge,allthecompressed-1.21.1-4.4.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\allthecompressed-1.21.1-4.4.0.jar,5901446
aeronaftics,alltheleaks,All The Leaks,1.1.7+1.21.1-neoforge,neoforge,alltheleaks-1.1.7+1.21.1-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\alltheleaks-1.1.7+1.21.1-neoforge.jar,536829
aeronaftics,allthemodium,Allthemodium,3.0.0,neoforge,allthemodium-3.0.0_mc_1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\allthemodium-3.0.0_mc_1.21.1.jar,1912511
aeronaftics,alltheores,AllTheOres,3.2.0,neoforge,alltheores-3.2.0_neoforge_1.21.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\alltheores-3.2.0_neoforge_1.21.1.jar,1645297
aeronaftics,allthetweaks,AllTheTweaks,2.9.2,neoforge,allthetweaks-1.21.1-2.9.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\allthetweaks-1.21.1-2.9.2.jar,4917180
aeronaftics,allthewizardgear,All the Wizard Gear,1.21.1-1.1.12,neoforge,allthewizardgear-1.21.1-1.1.12.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\allthewizardgear-1.21.1-1.1.12.jar,111938
aeronaftics,almostunified,AlmostUnified,1.21.1-1.4.1,neoforge,almostunified-neoforge-1.21.1-1.4.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\almostunified-neoforge-1.21.1-1.4.1.jar,295072
aeronaftics,amendments,Amendments,1.21-2.0.15,neoforge,amendments-1.21-2.0.15-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\amendments-1.21-2.0.15-neoforge.jar,1143659
aeronaftics,apotheosis,Apotheosis,8.5.2,neoforge,Apotheosis-1.21.1-8.5.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Apotheosis-1.21.1-8.5.2.jar,6964172
aeronaftics,apothic_attributes,Apothic Attributes,2.9.1,neoforge,ApothicAttributes-1.21.1-2.9.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ApothicAttributes-1.21.1-2.9.1.jar,314269
