source,primary_id,name,version,loader,file,reason,path,length
aeronaftics,advancedperipherals,Advanced Peripherals,0.7.61b,neoforge,AdvancedPeripherals-1.21.1-0.7.61b.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AdvancedPeripherals-1.21.1-0.7.61b.jar,935498
aeronaftics,aeronautics_bundled,Create Aeronautics,1.0.3,neoforge,create-aeronautics-bundled-1.21.1-1.0.3.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create-aeronautics-bundled-1.21.1-1.0.3.jar,32945368
aeronaftics,appleskin,AppleSkin,${file.jarVersion},neoforge,appleskin-neoforge-mc1.21-3.0.9.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\appleskin-neoforge-mc1.21-3.0.9.jar,75804
aeronaftics,architectury,Architectury,13.0.8,neoforge,architectury-13.0.8-neoforge.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\architectury-13.0.8-neoforge.jar,584004
aeronaftics,artifacts,Artifacts,13.2.1,neoforge,artifacts-neoforge-13.2.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\artifacts-neoforge-13.2.1.jar,1030252
aeronaftics,athena,Athena,4.0.2,neoforge,athena-neoforge-1.21-4.0.2.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\athena-neoforge-1.21-4.0.2.jar,92698
aeronaftics,balm,Balm,21.0.56,neoforge,balm-neoforge-1.21.1-21.0.56.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\balm-neoforge-1.21.1-21.0.56.jar,739709
aeronaftics,bellsandwhistles,Create: Bells & Whistles,0.4.7-1.21.1,neoforge,bellsandwhistles-0.4.7-1.21.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bellsandwhistles-0.4.7-1.21.1.jar,193619
aeronaftics,bookshelf,Bookshelf,21.1.81,neoforge,bookshelf-neoforge-1.21.1-21.1.81.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bookshelf-neoforge-1.21.1-21.1.81.jar,328813
aeronaftics,chipped,Chipped,4.0.2,neoforge,chipped-neoforge-1.21.1-4.0.2.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\chipped-neoforge-1.21.1-4.0.2.jar,15020578
aeronaftics,cloth_config,Cloth Config v15 API,15.0.140,neoforge,cloth-config-15.0.140-neoforge.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cloth-config-15.0.140-neoforge.jar,1163890
aeronaftics,colorwheel,Colorwheel,1.2.3+mc1.21.1,neoforge,colorwheel-neoforge-1.2.3%2Bmc1.21.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\colorwheel-neoforge-1.2.3%2Bmc1.21.1.jar,376978
aeronaftics,colorwheel_patcher,Colorwheel Patcher,1.0.4+mc1.21.1,neoforge,colorwheel_patcher-neoforge-1.0.4%2Bmc1.21.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\colorwheel_patcher-neoforge-1.0.4%2Bmc1.21.1.jar,206773
aeronaftics,comforts,Comforts,9.0.5+1.21.1,neoforge,comforts-neoforge-9.0.5%2B1.21.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\comforts-neoforge-9.0.5%2B1.21.1.jar,422658
aeronaftics,computercraft,CC: Tweaked,1.117.1,neoforge,cc-tweaked-1.21.1-forge-1.117.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cc-tweaked-1.21.1-forge-1.117.1.jar,3120277
aeronaftics,controlling,Controlling,19.0.5,neoforge,Controlling-neoforge-1.21.1-19.0.5.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Controlling-neoforge-1.21.1-19.0.5.jar,77555
aeronaftics,create,Create,6.0.9,neoforge,create-1.21.1-6.0.9.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create-1.21.1-6.0.9.jar,19019888
aeronaftics,create_aquatic_ambitions,Create Aquatic Ambitions,2.0.2,neoforge,create_aquatic_ambitions-1.21.1-2.0.2.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create_aquatic_ambitions-1.21.1-2.0.2.jar,1041906
aeronaftics,create_dragons_plus,Create: Dragons Plus,1.8.7,neoforge,create-dragons-plus-1.8.7.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create-dragons-plus-1.8.7.jar,644935
aeronaftics,create_enchantment_industry,Create: Enchantment Industry,2.3.0,neoforge,create-enchantment-industry-2.3.0.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create-enchantment-industry-2.3.0.jar,683005
aeronaftics,create_hypertube,Create Hypertube,0.4.0,neoforge,create_hypertube-0.4.0-NEOFORGE.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\create_hypertube-0.4.0-NEOFORGE.jar,422250
aeronaftics,createaddition,Create Crafts & Additions,1.5.10,neoforge,createaddition-1.5.10.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\createaddition-1.5.10.jar,1595173
aeronaftics,curios,Curios API,9.5.1+1.21.1,neoforge,curios-neoforge-9.5.1+1.21.1.jar,already provided by existing FactorMoon mod/jarjar id,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\curios-neoforge-9.5.1+1.21.1.jar,410690
