source,mod_id,name,version,loader,file,reason,neo_file,neo_version,path
createaero_patched,advancedperipherals,Advanced Peripherals,0.7.61b,neoforge,AdvancedPeripherals-1.21.1-0.7.61b.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\AdvancedPeripherals-1.21.1-0.7.61b.jar
createaero_patched,aerocopycats,aero_copycats,1.1.0,neoforge,aerocopycats-1.1.1.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\aerocopycats-1.1.1.jar
createaero_patched,aeronautics_bundled,Create Aeronautics,1.2.1,neoforge,create-aeronautics-bundled-1.21.1-1.2.1.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\create-aeronautics-bundled-1.21.1-1.2.1.jar
createaero_patched,aeronauticscompat,AeronauticsCompat,1.1.2,neoforge,aeronauticscompat-1.1.2.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\aeronauticscompat-1.1.2.jar
createaero_patched,aeroworks,Create: Aeroworks,1.2.9,neoforge,aeroworks-1.2.9.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\aeroworks-1.2.9.jar
createaero_patched,appleskin,AppleSkin,${file.jarVersion},neoforge,appleskin-neoforge-mc1.21-3.0.9.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\appleskin-neoforge-mc1.21-3.0.9.jar
createaero_patched,architectury,Architectury,13.0.8,neoforge,architectury-13.0.8-neoforge.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\architectury-13.0.8-neoforge.jar
createaero_patched,authme,Auth Me,9.0.1+1.21.1,neoforge,authme-neoforge-9.0.1+1.21.1.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\authme-neoforge-9.0.1+1.21.1.jar
createaero_patched,azurelib,AzureLib,3.1.8,neoforge,azurelib-neo-1.21.1-3.1.8.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\azurelib-neo-1.21.1-3.1.8.jar
createaero_patched,badoptimizations,BadOptimizations,2.4.1,fabric,BadOptimizations-2.4.1-1.21.1.jar,CreateAERO base mod copied,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\BadOptimizations-2.4.1-1.21.1.jar
