source,mod_id,name,version,loader,file,reason,neo_file,neo_version,path
createaero_patched,cbc_at,CBC Advanced Technology,0.1.4c-1.21.1,neoforge,cbc_at_Neoforge_1.21.1_0.1.4c.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\cbc_at_Neoforge_1.21.1_0.1.4c.jar
createaero_patched,cbc_enhanced_shells,CBC Enhanced Shells,1.0.6,neoforge,CBCmoreshells-1.0.6.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\CBCmoreshells-1.0.6.jar
createaero_patched,cbc_going_ballistic,Create Big Cannons: Going Ballistic,0.1.2,neoforge,cbc_going_ballistic-0.1.2.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\cbc_going_ballistic-0.1.2.jar
createaero_patched,cbcmodernwarfare,CBC Modern Warfare,0.0.6d+mc.1.21.1-neoforge,neoforge,cbcmodernwarfare-0.0.6d+mc.1.21.1-neoforge.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\cbcmodernwarfare-0.0.6d+mc.1.21.1-neoforge.jar
createaero_patched,cbcmoreshells,CBC Military Supplement,2.0.10-1.21.1,neoforge,CBC-Military-Supplement-1.21.1-2.0.10.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\CBC-Military-Supplement-1.21.1-2.0.10.jar
createaero_patched,createbigcannons,Create Big Cannons,5.11.3,neoforge,createbigcannons-5.11.3+mc.1.21.1.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\createbigcannons-5.11.3+mc.1.21.1.jar
createaero_patched,lrtactical,LesRaisins Tactical Equipments,0.3.0,neoforge,LesRaisins-Tactical-Equipements-1.21.1-0.3.0.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\LesRaisins-Tactical-Equipements-1.21.1-0.3.0.jar
createaero_patched,ritchiesprojectilelib,Ritchie's Projectile Library,2.1.2,neoforge,ritchiesprojectilelib-2.1.2+mc.1.21.1-neoforge.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\ritchiesprojectilelib-2.1.2+mc.1.21.1-neoforge.jar
createaero_patched,tacz,Timeless & Classics Guns: Zero,1.1.7-hotfix-r5,neoforge,tacz-neoforge-1.21.1-1.1.7-hotfix-r5.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\tacz-neoforge-1.21.1-1.1.7-hotfix-r5.jar
createaero_patched,taczpackupgrader,TaCZ Pack Upgrader,2.0.0,neoforge,tacz-pack-upgrader-2.0.0.jar,excluded as weapon/artillery content,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\tacz-pack-upgrader-2.0.0.jar
