source,mod_id,name,version,loader,file,reason,neo_file,neo_version,path
createaero_patched,computercraft,CC: Tweaked,1.117.1,neoforge,cc-tweaked-1.21.1-forge-1.117.1.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\cc-tweaked-1.21.1-forge-1.117.1.jar
createaero_patched,aeronautics_bundled,Create Aeronautics,1.1.3,neoforge,create-aeronautics-bundled-1.21.1-1.1.3.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\create-aeronautics-bundled-1.21.1-1.1.3.jar
createaero_patched,create_radar,Create: Radars,0.4.4-1.21.1,neoforge,create_radar-0.4.8-1.21.1.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\create_radar-0.4.8-1.21.1.jar
createaero_patched,farmersdelight,Farmer's Delight,1.3.0,neoforge,FarmersDelight-1.21.1-1.3.0.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\FarmersDelight-1.21.1-1.3.0.jar
createaero_patched,midnightlib,MidnightLib,1.9.2,neoforge,midnightlib-neoforge-1.9.2+1.21.1.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\midnightlib-neoforge-1.9.2+1.21.1.jar
createaero_patched,modernfix,ModernFix,5.27.4+mc1.21.1,neoforge,modernfix-neoforge-5.27.4+mc1.21.1.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\modernfix-neoforge-5.27.4+mc1.21.1.jar
createaero_patched,ritchiesprojectilelib,Ritchie's Projectile Library,2.1.2,neoforge,ritchiesprojectilelib-2.1.2-mc.1.21.1-neoforge.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\ritchiesprojectilelib-2.1.2-mc.1.21.1-neoforge.jar
createaero_patched,sable,Sable,1.1.3,neoforge,sable-neoforge-1.21.1-1.1.3.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\sable-neoforge-1.21.1-1.1.3.jar
createaero_patched,travelersbackpack,Traveler's Backpack,10.1.34,neoforge,travelersbackpack-neoforge-1.21.1-10.1.34.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\travelersbackpack-neoforge-1.21.1-10.1.34.jar
createaero_patched,voicechat,Simple Voice Chat,1.21.1-2.6.16,neoforge,voicechat-neoforge-1.21.1-2.6.16.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\voicechat-neoforge-1.21.1-2.6.16.jar
createaero_patched,xaeroworldmap,Xaero's World Map,1.40.11,neoforge,xaeroworldmap-neoforge-1.21.1-1.40.11.jar,,,,C:\Users\teres\.minecraftx\instances\CreateAERO 1.0 patched-1.0\mods\xaeroworldmap-neoforge-1.21.1-1.40.11.jar
