source,mod_id,name,version,loader,file,reason,neo_file,neo_version,path
cobblemon_extra,architectury,Architectury,13.0.8,fabric,architectury-13.0.8-fabric.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\architectury-13.0.8-fabric.jar
cobblemon_extra,entityculling,EntityCulling,1.9.5,fabric,entityculling-fabric-1.9.5-mc1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\entityculling-fabric-1.9.5-mc1.21.1.jar
cobblemon_extra,ferritecore,FerriteCore,7.0.3,fabric,ferritecore-7.0.3-fabric.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ferritecore-7.0.3-fabric.jar
cobblemon_extra,fusion,Fusion,1.2.12,fabric,fusion-1.2.12-fabric-mc1.21.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\fusion-1.2.12-fabric-mc1.21.jar
cobblemon_extra,geckolib,GeckoLib 4,4.8.3,fabric,geckolib-fabric-1.21.1-4.8.3.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\geckolib-fabric-1.21.1-4.8.3.jar
cobblemon_extra,immediatelyfast,ImmediatelyFast,1.6.10+1.21.1,fabric,ImmediatelyFast-Fabric-1.6.10%2B1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ImmediatelyFast-Fabric-1.6.10%2B1.21.1.jar
cobblemon_extra,iris,Iris,1.8.8+mc1.21.1,fabric,iris-fabric-1.8.8+mc1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\iris-fabric-1.8.8+mc1.21.1.jar
cobblemon_extra,lithium,Lithium,0.15.2+mc1.21.1,fabric,lithium-fabric-0.15.2%2Bmc1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\lithium-fabric-0.15.2%2Bmc1.21.1.jar
cobblemon_extra,midnightlib,MidnightLib,1.7.5,fabric,midnightlib-1.7.5-fabric+1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\midnightlib-1.7.5-fabric+1.21.1.jar
cobblemon_extra,modernfix,ModernFix,5.25.1+mc1.21.1,fabric,modernfix-fabric-5.25.1+mc1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\modernfix-fabric-5.25.1+mc1.21.1.jar
cobblemon_extra,moreculling,More Culling,1.0.6,fabric,moreculling-fabric-1.21.1-1.0.6.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\moreculling-fabric-1.21.1-1.0.6.jar
cobblemon_extra,mousetweaks,Mouse Tweaks,2.26,fabric,MouseTweaks-fabric-mc1.21-2.26.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\MouseTweaks-fabric-mc1.21-2.26.jar
cobblemon_extra,rechiseled,Rechiseled,1.2.3,fabric,rechiseled-1.2.3-fabric-mc1.21.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\rechiseled-1.2.3-fabric-mc1.21.jar
cobblemon_extra,sodium,Sodium,0.6.13+mc1.21.1,fabric,sodium-fabric-0.6.13+mc1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\sodium-fabric-0.6.13+mc1.21.1.jar
cobblemon_extra,sodiumoptionsapi,Sodium Options API,1.0.10,fabric,sodiumoptionsapi-fabric-1.0.10-1.21.1.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\sodiumoptionsapi-fabric-1.0.10-1.21.1.jar
cobblemon_extra,sophisticatedcore,Sophisticated Core,1.21.1-1.2.9.21.168,fabric,sophisticatedcore-1.21.1-1.2.9.21.168.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\sophisticatedcore-1.21.1-1.2.9.21.168.jar
cobblemon_extra,sophisticatedstorage,Sophisticated Storage,1.21.1-1.3.7.9.139,fabric,sophisticatedstorage-1.21.1-1.3.7.9.139.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\sophisticatedstorage-1.21.1-1.3.7.9.139.jar
cobblemon_extra,supermartijn642configlib,SuperMartijn642's Config Lib,1.1.8,fabric,supermartijn642configlib-1.1.8-fabric-mc1.21.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\supermartijn642configlib-1.1.8-fabric-mc1.21.jar
cobblemon_extra,supermartijn642corelib,SuperMartijn642's Core Lib,1.1.20,fabric,supermartijn642corelib-1.1.20-fabric-mc1.21.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\supermartijn642corelib-1.1.20-fabric-mc1.21.jar
cobblemon_extra,terralith,Terralith,2.5.8,fabric,Terralith_1.21.x_v2.5.8.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\Terralith_1.21.x_v2.5.8.jar
cobblemon_extra,toms_storage,Tom's Simple Storage Mod,2.3.0,fabric,toms_storage_fabric-1.21-2.3.0.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\toms_storage_fabric-1.21-2.3.0.jar
cobblemon_extra,xaerominimap,Xaero's Minimap,25.3.10,fabric,xaerominimap-fabric-1.21.1-25.3.10.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\xaerominimap-fabric-1.21.1-25.3.10.jar
cobblemon_extra,xaeroworldmap,Xaero's World Map,1.40.11,fabric,xaeroworldmap-fabric-1.21.1-1.40.11.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\xaeroworldmap-fabric-1.21.1-1.40.11.jar
cobblemon_extra,yet_another_config_lib_v3,YetAnotherConfigLib,3.8.1+1.21.1-fabric,fabric,yet_another_config_lib_v3-3.8.1%2B1.21.1-fabric.jar,already covered by CreateAERO base mod,,,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\yet_another_config_lib_v3-3.8.1%2B1.21.1-fabric.jar
