rel_path,file_name,size,sha1,metadata,mod_ids,display_names,loaders
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,1095802,fa0b11de088893bb14aff945d0e8efdee165457b,fabric.mod.json,accessories,Accessories,fabric
cobblemon-extra\mods\accessories_compat_layer-fabric-0.1.12+1.21.1.jar,accessories_compat_layer-fabric-0.1.12+1.21.1.jar,398321,44acb001881c063aa15fe66a26de5fae88e6564f,fabric.mod.json,accessories_compat_layer;tclayer;cclayer,Accessories Compatibility Layer,fabric
cobblemon-extra\mods\advancementdisable-fabric-1.0.1+1.21.jar,advancementdisable-fabric-1.0.1+1.21.jar,430412,8bff07c3254e04ed4926051684f3af92151c650f,fabric.mod.json,advancementdisable,AdvancementDisable,fabric
cobblemon-extra\mods\AdvancementPlaques-1.21.1-fabric-1.6.8.jar,AdvancementPlaques-1.21.1-fabric-1.6.8.jar,195505,e3a5a514bbcc18e2c4e3bc251eb9f48e64217405,fabric.mod.json,advancementplaques,Advancement Plaques,fabric
cobblemon-extra\mods\architectury-13.0.8-fabric.jar,architectury-13.0.8-fabric.jar,600915,e71346a43c563e5784580dd096338acfb45f49d4,fabric.mod.json,architectury,Architectury,fabric
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,artifacts-fabric-13.2.0.jar,1427967,f3403634b73df9e7813b907f804076a4b70f956e,fabric.mod.json,artifacts,Artifacts,fabric
cobblemon-extra\mods\athena-fabric-1.21-4.0.2.jar,athena-fabric-1.21-4.0.2.jar,82788,d79183521f9bcb043ebdc6438f1987e46c12a067,fabric.mod.json,athena,Athena,fabric
cobblemon-extra\mods\balm-fabric-1.21.1-21.0.56.jar,balm-fabric-1.21.1-21.0.56.jar,773504,0377b2e07551dc9fbcb40b94a3d38e098cd85d7e,fabric.mod.json,balm;balm-fabric,Balm,fabric
cobblemon-extra\mods\beautify-2.0.0%2B1.21.1.jar,beautify-2.0.0%2B1.21.1.jar,837607,7b22fbf4997200c8f210a016f7af36309f52a1e1,fabric.mod.json,beautify,Beautify,fabric
cobblemon-extra\mods\betterbeds-fabric-1.4.0.jar,betterbeds-fabric-1.4.0.jar,39918,18bc5c4f40ff6e47d65526a59244c9ea57b83e3f,fabric.mod.json,betterbeds,Better Beds,fabric
cobblemon-extra\mods\BetterF1-Fabric-1.1+1.21.7.jar,BetterF1-Fabric-1.1+1.21.7.jar,22834,218c3aa2ae3356309997deae0861133e9f861581,fabric.mod.json,betterf1,BetterF1,fabric
cobblemon-extra\mods\BetterF3-11.0.3-Fabric-1.21.1.jar,BetterF3-11.0.3-Fabric-1.21.1.jar,1810710,22442f5594bd537ab603cb36fba70363ebb7992a,fabric.mod.json,betterf3,BetterF3,fabric
cobblemon-extra\mods\BetterThirdPerson-Fabric-1.21-1.9.0.jar,BetterThirdPerson-Fabric-1.21-1.9.0.jar,52188,ea0dd2747e5d52d1b64dd29498e59602e79d9b69,fabric.mod.json,betterthirdperson,Better Third Person,fabric
cobblemon-extra\mods\biomereplacer-2.1-hippo-fabric.jar,biomereplacer-2.1-hippo-fabric.jar,138694,8e3573f3384e7031afa663d7fe3dbbd0011bae9c,fabric.mod.json,biome_replacer,Biome Replacer,fabric
cobblemon-extra\mods\brb-1.10.0-rc5+1.21.jar,brb-1.10.0-rc5+1.21.jar,1213168,5831fc725b9834cef7b445913a701310536b17ab,fabric.mod.json,brb,Better Recipe Book,fabric
cobblemon-extra\mods\capturexp-fabric-1.7.3-1.3.0.jar,capturexp-fabric-1.7.3-1.3.0.jar,22848,fe935920b30c7cce657c2fa5e4dd27f36ea640cf,fabric.mod.json,capture_xp,Cobblemon Capture XP,fabric
cobblemon-extra\mods\cardinal-components-api-6.1.3.jar,cardinal-components-api-6.1.3.jar,229645,e762f5205c0fd0f9bed1c04432bf9b51ec832882,fabric.mod.json,cardinal-components,Cardinal Components API,fabric
cobblemon-extra\mods\Carved%20Wood-fabric-1.21.1-1.8.2.jar,Carved%20Wood-fabric-1.21.1-1.8.2.jar,2458227,b33a37bd0da649d860bf70e32681e49f206e08a6,fabric.mod.json,carved_wood,Carved Wood,fabric
cobblemon-extra\mods\catchindicator-fabric-1.4.1.jar,catchindicator-fabric-1.4.1.jar,284261,64cbe24381672d8ca66c64786a74d2614a227238,fabric.mod.json,catchindicator,Catch Indicator,fabric
cobblemon-extra\mods\catchrate-display-fabric-2.7.8.jar,catchrate-display-fabric-2.7.8.jar,175500,040429b67da4320ad455721aadc77b0fc82b206c,fabric.mod.json,catchrate-display,Cobblemon Catch Rate Display,fabric
cobblemon-extra\mods\cloth-config-15.0.140-fabric.jar,cloth-config-15.0.140-fabric.jar,1157166,5d82342a2df53fd6df712bfdd583a811572918a4,fabric.mod.json,cloth-config;cloth-config2,Cloth Config v15,fabric
cobblemon-extra\mods\cobble-caf-forms-5.0.0.jar,cobble-caf-forms-5.0.0.jar,2884487,6ad87cbd0eb23e7a58157b48b4cca9924e66c7b9,fabric.mod.json;META-INF/neoforge.mods.toml,mr_cobble_cafforms,Cobblemon cafe,fabric;neoforge
cobblemon-extra\mods\cobblecuisine-2.0.1-1.7-rc1.jar,cobblecuisine-2.0.1-1.7-rc1.jar,683115,31cf544fe61bb9c21fa8dafe5c03a428049a0f37,fabric.mod.json,cobblecuisine,CobbleCuisine,fabric
cobblemon-extra\mods\cobbledgacha-fabric-1.21.1-3.0.2.jar,cobbledgacha-fabric-1.21.1-3.0.2.jar,1146787,5dea9ee78e68abb3b43a7a545af7281ca2dbb397,fabric.mod.json,cobbledgacha,Cobbled Gacha,fabric
cobblemon-extra\mods\CobbleDollars-fabric-2.0.0+Beta-5.1+1.21.1.jar,CobbleDollars-fabric-2.0.0+Beta-5.1+1.21.1.jar,369528,48a2a30fb22e088ca9357fc95bdb4247ddc80b17,fabric.mod.json,cobbledollars,CobbleDollars,fabric
cobblemon-extra\mods\CobbleFurnies-fabric-1.0.jar,CobbleFurnies-fabric-1.0.jar,2319618,b174451734d3a424fa239612a5814572f76f77db,fabric.mod.json,cobblefurnies,CobbleFurnies,fabric
cobblemon-extra\mods\cobblemon-additions-4.1.6.jar,cobblemon-additions-4.1.6.jar,1961229,293c0fd6354114cd45d2dd8e4e771d48b1d89200,fabric.mod.json,,,fabric
cobblemon-extra\mods\cobblemon-alphas-2.2.jar,cobblemon-alphas-2.2.jar,919007,26ad77dbff6995cf81c7f0abf71c925793a9dbb6,fabric.mod.json;META-INF/neoforge.mods.toml,mr_cobblemon_alphas,Cobblemon Alphas,fabric;neoforge
cobblemon-extra\mods\cobblemon-battle-extras-fabric-1.13.44.jar,cobblemon-battle-extras-fabric-1.13.44.jar,1508883,ed807d24d3dd6ccb54ca53cfdd80f76025c9bb0b,fabric.mod.json,cobblemon-battle-extras,Cobblemon Battle Extras,fabric
