source,mod_id,name,version,loader,file,reason,neo_file,neo_version,path
cobblemon_extra,artifacts,Artifacts,13.2.0,fabric,artifacts-fabric-13.2.0.jar,local NeoForge analog copied from aeronaftics,artifacts-neoforge-13.2.1.jar,13.2.1,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\artifacts-fabric-13.2.0.jar
cobblemon_extra,athena,Athena,4.0.2,fabric,athena-fabric-1.21-4.0.2.jar,local NeoForge analog copied from aeronaftics,athena-neoforge-1.21-4.0.2.jar,4.0.2,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\athena-fabric-1.21-4.0.2.jar
cobblemon_extra,balm,Balm,21.0.56,fabric,balm-fabric-1.21.1-21.0.56.jar,local NeoForge analog copied from aeronaftics,balm-neoforge-1.21.1-21.0.56.jar,21.0.56,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\balm-fabric-1.21.1-21.0.56.jar
cobblemon_extra,comforts,Comforts,9.0.5+1.21.1,fabric,comforts-fabric-9.0.5%2B1.21.1.jar,local NeoForge analog copied from aeronaftics,comforts-neoforge-9.0.5%2B1.21.1.jar,9.0.5+1.21.1,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\comforts-fabric-9.0.5%2B1.21.1.jar
cobblemon_extra,controlling,Controlling,19.0.5,fabric,Controlling-fabric-1.21.1-19.0.5.jar,local NeoForge analog copied from aeronaftics,Controlling-neoforge-1.21.1-19.0.5.jar,19.0.5,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\Controlling-fabric-1.21.1-19.0.5.jar
cobblemon_extra,fancymenu,FancyMenu,3.8.1,fabric,fancymenu_fabric_3.8.1_MC_1.21.1.jar,local NeoForge analog copied from aeronaftics,fancymenu_neoforge_3.8.1_MC_1.21.1.jar,3.8.1,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\fancymenu_fabric_3.8.1_MC_1.21.1.jar
cobblemon_extra,ftblibrary,FTB Library,2101.1.31,fabric,ftb-library-fabric-2101.1.31.jar,local NeoForge analog copied from aeronaftics,ftb-library-neoforge-2101.1.31.jar,2101.1.31,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ftb-library-fabric-2101.1.31.jar
cobblemon_extra,ftbquests,FTB Quests,2101.1.23,fabric,ftb-quests-fabric-2101.1.23.jar,local NeoForge analog copied from aeronaftics,ftb-quests-neoforge-2101.1.24.jar,2101.1.24,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ftb-quests-fabric-2101.1.23.jar
cobblemon_extra,ftbranks,FTB Ranks,2101.1.3,fabric,ftb-ranks-fabric-2101.1.3.jar,local NeoForge analog copied from aeronaftics,ftb-ranks-neoforge-2101.1.3.jar,2101.1.3,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ftb-ranks-fabric-2101.1.3.jar
cobblemon_extra,ftbteams,FTB Teams,2101.1.9,fabric,ftb-teams-fabric-2101.1.9.jar,local NeoForge analog copied from aeronaftics,ftb-teams-neoforge-2101.1.10.jar,2101.1.10,C:\Users\teres\.minecraftx\instances\cobblemon-extra\mods\ftb-teams-fabric-2101.1.9.jar
