mod_id,name,fabric_file,reason,link_slug,link_kind,link_file_or_version,url,next_action
accessories_compat_layer,Accessories Compatibility Layer,accessories_compat_layer-fabric-0.1.12+1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,accessories-compat-layer,mc-mods,7585673,https://www.curseforge.com/minecraft/mc-mods/accessories-compat-layer/files/7585673,"download provided link, verify NeoForge/1.21.1 metadata, then install"
beautify,Beautify,beautify-2.0.0%2B1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,beautify-decorate,mc-mods,5947973,https://www.curseforge.com/minecraft/mc-mods/beautify-decorate/files/5947973,"download provided link, verify NeoForge/1.21.1 metadata, then install"
betterthirdperson,Better Third Person,BetterThirdPerson-Fabric-1.21-1.9.0.jar,no final NeoForge equivalent present; needs manual download/check or port,better-third-person,mc-mods,5833474,https://www.curseforge.com/minecraft/mc-mods/better-third-person/files/5833474,"download provided link, verify NeoForge/1.21.1 metadata, then install"
biome_replacer,Biome Replacer,biomereplacer-2.1-hippo-fabric.jar,no final NeoForge equivalent present; needs manual download/check or port,biome-replacer,mc-mods,7451481,https://www.curseforge.com/minecraft/mc-mods/biome-replacer/files/7451481,"download provided link, verify NeoForge/1.21.1 metadata, then install"
customsplashscreen,Custom Splash Screen,customsplashscreen-2.2.0.jar,no final NeoForge equivalent present; needs manual download/check or port,simple-splash-screen,mod,1.21-1.3.2,https://modrinth.com/mod/simple-splash-screen/version/1.21-1.3.2,"download provided link, verify NeoForge/1.21.1 metadata, then install"
dynamiclights,Dynamic Lights,dynamiclights-v1.9.1-mc1.17-1.21.11-mod.jar,no final NeoForge equivalent present; needs manual download/check or port,dynamic-lights,mc-mods,7906440,https://www.curseforge.com/minecraft/mc-mods/dynamic-lights/files/7906440,"download provided link, verify NeoForge/1.21.1 metadata, then install"
legendarymonuments,Legendary Monuments,LegendaryMonuments-Cobbleverse.jar,no final NeoForge equivalent present; needs manual download/check or port,legendary-monuments-cobblemon,mc-mods,7095325,https://www.curseforge.com/minecraft/mc-mods/legendary-monuments-cobblemon/files/7095325,"download provided link, verify NeoForge/1.21.1 metadata, then install"
moarconcrete,Moar Concrete,moar-concrete-1.3.1.jar,no final NeoForge equivalent present; needs manual download/check or port,more-concrete,mc-mods,6359256,https://www.curseforge.com/minecraft/mc-mods/more-concrete/files/6359256,"download provided link, verify NeoForge/1.21.1 metadata, then install"
musicnotification,Music Notification,MusicNotification-fabric-mc1.21-2.1.0.jar,no final NeoForge equivalent present; needs manual download/check or port,music-notification,mc-mods,7918231,https://www.curseforge.com/minecraft/mc-mods/music-notification/files/7918231,"download provided link, verify NeoForge/1.21.1 metadata, then install"
nethermap,Better Nether Map,nethermap-4.0.0-1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,betternether-neoforge,mc-mods,8194859,https://www.curseforge.com/minecraft/mc-mods/betternether-neoforge/files/8194859,"download provided link, verify NeoForge/1.21.1 metadata, then install"
notenoughcrashes,Not Enough Crashes,notenoughcrashes-fabric-4.4.9+1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,not-enough-crashes-forge,mc-mods,6598103,https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes-forge/files/6598103,"download provided link, verify NeoForge/1.21.1 metadata, then install"
roughlyenoughitems,Roughly Enough Items,RoughlyEnoughItems-16.0.799-fabric.jar,no final NeoForge equivalent present; needs manual download/check or port,roughly-enough-items,mc-mods,6199140,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-items/files/6199140,"download provided link, verify NeoForge/1.21.1 metadata, then install"
sound_physics_remastered,Sound Physics Remastered,sound-physics-remastered-fabric-1.21.1-1.5.1.jar,no final NeoForge equivalent present; needs manual download/check or port,sound-physics-remastered,mod,neoforge-1.21.1-1.5.1,https://modrinth.com/mod/sound-physics-remastered/version/neoforge-1.21.1-1.5.1,"download provided link, verify NeoForge/1.21.1 metadata, then install"
stardew_fishing_fabric,Stardew Fishing Fabric,stardew-fishing-fabric-0.1.1.jar,no final NeoForge equivalent present; needs manual download/check or port,stardew-fishing,mc-mods,8070778,https://www.curseforge.com/minecraft/mc-mods/stardew-fishing/files/8070778,"download provided link, verify NeoForge/1.21.1 metadata, then install"
