rel_path,file_name,size,sha1,metadata,mod_ids,display_names,loaders
FactorMoon\mods\%5BNeoforge%5Dctov-3.6.3.jar,%5BNeoforge%5Dctov-3.6.3.jar,7139609,c5fe733d743af20f84eb87dd75b5bb57684f3e05,META-INF/neoforge.mods.toml,ctov,ChoiceTheorem's Overhauled Village,neoforge
FactorMoon\mods\[1.21.1] SecurityCraft v1.10.1.jar,[1.21.1] SecurityCraft v1.10.1.jar,4951098,692f81f4fdcd0d1298db96a9582eea41baeae252,META-INF/neoforge.mods.toml,securitycraft,SecurityCraft,neoforge
FactorMoon\mods\accelerated-decay-neoforge-21.0.0.jar,accelerated-decay-neoforge-21.0.0.jar,10478,b023fe4daf1379f0f4233bea02ba112f3854db3e,META-INF/neoforge.mods.toml,accelerateddecay,Accelerated Decay,neoforge
FactorMoon\mods\accessories-neoforge-1.1.0-beta.53+1.21.1.jar,accessories-neoforge-1.1.0-beta.53+1.21.1.jar,1078697,77d75c2e13cfdf56a45cdd29806c1c97c3d250fc,META-INF/neoforge.mods.toml,accessories,Accessories,neoforge
FactorMoon\mods\additional_lights-neoforge-1.21-2.1.10.jar,additional_lights-neoforge-1.21-2.1.10.jar,514194,8dc485146437e8ac40dd29e10747601fd4e372ca,META-INF/neoforge.mods.toml,additional_lights,Additional Lights,neoforge
FactorMoon\mods\AdvancedAE-1.6.11-1.21.1.jar,AdvancedAE-1.6.11-1.21.1.jar,4797100,0af8033f7291b9f5062b229053e16b439a906db9,META-INF/neoforge.mods.toml,advanced_ae,Advanced AE,neoforge
FactorMoon\mods\AdvancedPeripherals-1.21.1-0.7.61b.jar,AdvancedPeripherals-1.21.1-0.7.61b.jar,935498,3f05a8766862bbe8958750f7eb768220d30536a3,META-INF/neoforge.mods.toml,advancedperipherals,Advanced Peripherals,neoforge
FactorMoon\mods\advancementdisable-neoforge-1.0.1+1.21.jar,advancementdisable-neoforge-1.0.1+1.21.jar,12747,d57c4837848d923aac791029ca3c19eb4e93b5eb,META-INF/neoforge.mods.toml,advancementdisable,AdvancementDisable,neoforge
FactorMoon\mods\AdvancementPlaques-1.21.1-neoforge-1.6.8.jar,AdvancementPlaques-1.21.1-neoforge-1.6.8.jar,195730,829d33e71b30e9158d772f5963bb6020f6026d78,META-INF/neoforge.mods.toml,advancementplaques,Advancement Plaques,neoforge
FactorMoon\mods\ae2ct-1.21.1-1.1.1.jar,ae2ct-1.21.1-1.1.1.jar,437906,2e425a9dc8891bdcd3b2914506d1bc33414b61be,META-INF/neoforge.mods.toml,ae2ct,AE2:Crafting Tree,neoforge
FactorMoon\mods\ae2importexportcard-1.21.1-1.4.3.jar,ae2importexportcard-1.21.1-1.4.3.jar,190861,a64daebce42a609e2a4786393fc4398448a0aa35,META-INF/neoforge.mods.toml,ae2importexportcard,AE2 Import Export Card,neoforge
FactorMoon\mods\ae2jeiintegration-1.2.1.jar,ae2jeiintegration-1.2.1.jar,91710,e99898b3e9c32bf6ac757e7ad50247746622cdfc,META-INF/neoforge.mods.toml,ae2jeiintegration,AE2 JEI Integration,neoforge
FactorMoon\mods\AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,1686091,c6cb26a2031687d801bf1763dc0c75cd92f3715c,META-INF/neoforge.mods.toml,ae2netanalyser,AE2NetworkAnalyzer,neoforge
FactorMoon\mods\ae2wtlib-19.4.1.jar,ae2wtlib-19.4.1.jar,242235,e5ac6b8ec0851d9fb23d92281842f1880f0979b7,META-INF/neoforge.mods.toml,ae2wtlib,AE2WTLib,neoforge
FactorMoon\mods\aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar,aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar,30409,d00daf281a852358022b936a21ae272578f00afd,META-INF/neoforge.mods.toml,aeinfinitybooster,AEInfinityBooster,neoforge
FactorMoon\mods\aerocopycats-1.1.1.jar,aerocopycats-1.1.1.jar,14702,3a93862421d0a8cdae1e3a3d7f0d4bd01e049007,META-INF/neoforge.mods.toml,aerocopycats,aero_copycats,neoforge
FactorMoon\mods\aeronauticscompat-1.1.2.jar,aeronauticscompat-1.1.2.jar,37307,64044986287367e7f638012c931d8a23528bee41,META-INF/neoforge.mods.toml,aeronauticscompat,AeronauticsCompat,neoforge
FactorMoon\mods\aeroworks-1.2.9.jar,aeroworks-1.2.9.jar,183858,f6f48e509202dca5443904ae077ade67e7f89d70,META-INF/neoforge.mods.toml,aeroworks,Create: Aeroworks,neoforge
FactorMoon\mods\AI-Improvements-1.21-0.5.3.jar,AI-Improvements-1.21-0.5.3.jar,28984,b4a8e11384454bcc341043b251db7fb5afdfdf45,META-INF/neoforge.mods.toml,aiimprovements,AI-Improvements,neoforge
FactorMoon\mods\AkashicTome-1.8-30.jar,AkashicTome-1.8-30.jar,50256,6493e575f295e18fac1f7c5399c05c53caa1f7ce,META-INF/neoforge.mods.toml,akashictome,Akashic Tome,neoforge
FactorMoon\mods\almostunified-neoforge-1.21.1-1.4.1.jar,almostunified-neoforge-1.21.1-1.4.1.jar,295072,69913ae6d63f2e10603b272bb8a957c7d0f3f0e4,META-INF/neoforge.mods.toml,almostunified,AlmostUnified,neoforge
FactorMoon\mods\amendments-1.21-2.0.15-neoforge.jar,amendments-1.21-2.0.15-neoforge.jar,1143659,00056f29646f3bf86116b281c2362c0dabdb4533,META-INF/neoforge.mods.toml,amendments,Amendments,neoforge
FactorMoon\mods\Apotheosis-1.21.1-8.5.2.jar,Apotheosis-1.21.1-8.5.2.jar,6964172,eb484177b383dc397bfa37d06ef09ec39053bb50,META-INF/neoforge.mods.toml,apotheosis,Apotheosis,neoforge
FactorMoon\mods\ApothicAttributes-1.21.1-2.9.1.jar,ApothicAttributes-1.21.1-2.9.1.jar,314269,e7f669e1b45d75076200436f37c40a6dd3b6a6ff,META-INF/neoforge.mods.toml,apothic_attributes,Apothic Attributes,neoforge
FactorMoon\mods\ApothicEnchanting-1.21.1-1.5.2.jar,ApothicEnchanting-1.21.1-1.5.2.jar,5350906,aad9bb6b4e5ba7ea85af4d143467b99f0ed022fc,META-INF/neoforge.mods.toml,apothic_enchanting,Apothic Enchanting,neoforge
FactorMoon\mods\ApothicSpawners-1.21.1-1.3.4.jar,ApothicSpawners-1.21.1-1.3.4.jar,125015,26d701238bdb76a497a64f588409419ad067e557,META-INF/neoforge.mods.toml,apothic_spawners,Apothic Spawners,neoforge
FactorMoon\mods\appleskin-neoforge-mc1.21-3.0.9.jar,appleskin-neoforge-mc1.21-3.0.9.jar,75804,81cf0e668f991f83ac8820c386fbd6c9c3602246,META-INF/neoforge.mods.toml,appleskin,AppleSkin,neoforge
FactorMoon\mods\appliedenergistics2-19.2.17.jar,appliedenergistics2-19.2.17.jar,8230896,49c18d6a4af487957d7e5a6ad5dcbf71090b8e14,META-INF/neoforge.mods.toml,ae2,Applied Energistics 2,neoforge
FactorMoon\mods\AppliedFlux-1.21-2.1.4-neoforge.jar,AppliedFlux-1.21-2.1.4-neoforge.jar,337796,741e856b0c928fc15b59e92d98ea75ef98541ee8,META-INF/neoforge.mods.toml,appflux,AppliedFlux,neoforge
FactorMoon\mods\architectury-13.0.8-neoforge.jar,architectury-13.0.8-neoforge.jar,584004,6ca11d3cc136bf69bb8f4d56982481eb85b5100b,META-INF/neoforge.mods.toml,architectury,Architectury,neoforge
FactorMoon\mods\artifacts-neoforge-13.2.1.jar,artifacts-neoforge-13.2.1.jar,1030252,3fe4d52cc0b11d91c75005030e83e3f675e62383,META-INF/neoforge.mods.toml,artifacts,Artifacts,neoforge
FactorMoon\mods\athena-neoforge-1.21-4.0.2.jar,athena-neoforge-1.21-4.0.2.jar,92698,069f397f1b3a30b3d5f5a98cac76304dfe345d76,META-INF/neoforge.mods.toml,athena,Athena,neoforge
FactorMoon\mods\atlas_api-1.21.1-1.2.0.jar,atlas_api-1.21.1-1.2.0.jar,28419,79487e97bd6dbbd6cfbdbcd4fbf1a7ac34fb8998,META-INF/neoforge.mods.toml,atlas_api,Atlas API,neoforge
FactorMoon\mods\attributefix-neoforge-1.21.1-21.1.3.jar,attributefix-neoforge-1.21.1-21.1.3.jar,19809,7aae849f6d2a6cb1368227407ea5deb552e100ba,META-INF/neoforge.mods.toml,attributefix,AttributeFix,neoforge
FactorMoon\mods\Auroras-1.21-1.6.2.jar,Auroras-1.21-1.6.2.jar,2116122,2a27027b3c95823e4bf7e0aa635b92742ca407e0,META-INF/neoforge.mods.toml,auroras,Auroras,neoforge
FactorMoon\mods\authme-neoforge-9.0.1+1.21.1.jar,authme-neoforge-9.0.1+1.21.1.jar,364895,13d12989930705e645f82c625d25ac26bce589e5,META-INF/neoforge.mods.toml,authme,Auth Me,neoforge
FactorMoon\mods\azurelib-neo-1.21.1-3.1.8.jar,azurelib-neo-1.21.1-3.1.8.jar,871542,d7762c1e334ed9d654675e48782eea42057a3f7c,META-INF/neoforge.mods.toml,azurelib,AzureLib,neoforge
FactorMoon\mods\BadOptimizations-2.4.1-1.21.1.jar,BadOptimizations-2.4.1-1.21.1.jar,283566,1461d8e46391efd32a3085150e86094c9f6f5c9d,fabric.mod.json;META-INF/neoforge.mods.toml,badoptimizations,BadOptimizations,fabric;neoforge
FactorMoon\mods\balm-neoforge-1.21.1-21.0.56.jar,balm-neoforge-1.21.1-21.0.56.jar,739709,c1c1d4859c7943c7d1c181c07fa7273a1d56df15,META-INF/neoforge.mods.toml,balm,Balm,neoforge
FactorMoon\mods\baubley-heart-canisters-1.21.1-1.4.0.jar,baubley-heart-canisters-1.21.1-1.4.0.jar,177638,ccaae33c804d4897039b55a98e9da608b15fee8b,META-INF/neoforge.mods.toml,bhc,Baubley Heart Canisters,neoforge
FactorMoon\mods\bellsandwhistles-0.4.7-1.21.1.jar,bellsandwhistles-0.4.7-1.21.1.jar,193619,85944080f8bd47dad64a8193a70662cd9ddbb200,META-INF/neoforge.mods.toml,bellsandwhistles,Create: Bells & Whistles,neoforge
FactorMoon\mods\better_tooltips-1.0.3.jar,better_tooltips-1.0.3.jar,64441,ac67bc12905121dc52d6403edd2c4cc8d39a6b67,META-INF/neoforge.mods.toml,better_tooltips,Better Tooltips,neoforge
