"file","action","reason"
"achapter_2r_6the_atm_star.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"allthemodium.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"ars_nouveau.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"bumblezone.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"chapter_2_the_star.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"deeper_and_darker.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"draconic_evolution.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"elmystical_agriculturerr.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"eternal_starlight.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"evilcraft.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"extreme_reactors.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"forbidden__arcanus.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"hostile_neural_networks.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"immersive_engineering.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"industrial_foregoing.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"integrated_dynamics.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"iron_spells_and_spellbooks.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mahou_tsukai.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mainquestline_part_1.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mekanism.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mekanism_reactors.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mi_digital.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mi_electric.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mi_endgame.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"mi_steam.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"natures_aura.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"occultism.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"oritech.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"pneumaticcraft.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"refined_storage.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"theurgy.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"twilight_forest.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"undergarden.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
"xycraft.snbt","moved_out_of_active_chapters","Primary mod is absent from FactorMoon or chapter is ATM10 star/progression content"
