"file","action","reason"
"basic_armor.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"basic_logistics.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"basic_power.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"basic_tools.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"bounty_board.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"building_tips.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"food_and_farming.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"productive_bees.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"storage.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
"tips_and_tricks.snbt","moved_out_of_active_chapters","Generic ATM10 chapter has many references to absent mods and should be rebuilt for FactorMoon"
