status,mod_id,name,fabric_file,link_slug,link_kind,link_file_or_version,url,downloaded_file,installed_to,details,reason,next_action
skipped_wrong_game_version,advancementdisable,AdvancementDisable,advancementdisable-fabric-1.0.1+1.21.jar,advancementdisable,mc-mods,5510148,https://www.curseforge.com/minecraft/mc-mods/advancementdisable/files/5510148,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""advancementdisable"", ""project_id"": ""1055905"", ""file_id"": ""5510148"", ""file_name"": ""advancementdisable-neoforge-1.0.1+1.21.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/advancementdisable-1055905/5510148/advancementdisable-1055905-5510148.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/5510/148/advancementdisable-neoforge-1.0.1+1.21.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21;NeoForge"", ""display"": ""advancementdisable-neoforge-1.0.1+1.21.jar""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,advancementplaques,Advancement Plaques,AdvancementPlaques-1.21.1-fabric-1.6.8.jar,advancement-plaques,mc-mods,8124727,https://www.curseforge.com/minecraft/mc-mods/advancement-plaques/files/8124727,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""advancement-plaques"", ""project_id"": ""499826"", ""file_id"": ""8124727"", ""file_name"": ""AdvancementPlaques-1.21.11-neoforge-1.7.0.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/advancement-plaques-499826/8124727/advancement-plaques-499826-8124727.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/8124/727/AdvancementPlaques-1.21.11-neoforge-1.7.0.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21.11;Client;NeoForge"", ""display"": ""AdvancementPlaques-1.21.11-neoforge-1.7.0.jar""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,betterbeds,Better Beds,betterbeds-fabric-1.4.0.jar,better-beds,mc-mods,5437846,https://www.curseforge.com/minecraft/mc-mods/better-beds/files/5437846,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,betterf3,BetterF3,BetterF3-11.0.3-Fabric-1.21.1.jar,betterf3,mc-mods,7436342,https://www.curseforge.com/minecraft/mc-mods/betterf3/files/7436342,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""betterf3"", ""project_id"": ""401648"", ""file_id"": ""7436342"", ""file_name"": ""BetterF3-17.0.0-NeoForge-1.21.11.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/betterf3-401648/7436342/betterf3-401648-7436342.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/7436/342/BetterF3-17.0.0-NeoForge-1.21.11.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21.11;NeoForge"", ""display"": ""BetterF3 NeoForge v17.0.0 (1.21.11)""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,betterthirdperson,Better Third Person,BetterThirdPerson-Fabric-1.21-1.9.0.jar,better-third-person,mc-mods,5833474,https://www.curseforge.com/minecraft/mc-mods/better-third-person/files/5833474,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,biome_replacer,Biome Replacer,biomereplacer-2.1-hippo-fabric.jar,biome-replacer,mc-mods,7451481,https://www.curseforge.com/minecraft/mc-mods/biome-replacer/files/7451481,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""biome-replacer"", ""project_id"": ""910274"", ""file_id"": ""7451481"", ""file_name"": ""biomereplacer-2.2.1-pinkeen-neo.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/biome-replacer-910274/7451481/biome-replacer-910274-7451481.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/7451/481/biomereplacer-2.2.1-pinkeen-neo.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21.11;NeoForge"", ""display"": ""2.2.1 Neoforge 1.21.11-1.21.11""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,brb,Better Recipe Book,brb-1.10.0-rc5+1.21.jar,brb,mc-mods,5512413,https://www.curseforge.com/minecraft/mc-mods/brb/files/5512413,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""brb"", ""project_id"": ""486485"", ""file_id"": ""5512413"", ""file_name"": ""brb-1.10.0-rc5+1.21.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/brb-486485/5512413/brb-486485-5512413.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/5512/413/brb-1.10.0-rc5+1.21.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21;NeoForge"", ""display"": ""[Neoforge] 1.10.0-rc5+1.21""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_loader,cobblemonopponents,Cobblemon Trainer Structures,cobblemonopponents-fabric-1.6.1.jar,cobblemon-trainer-structures,mod,1.7.0,https://modrinth.com/mod/cobblemon-trainer-structures/version/1.7.0,,,"{""source"": ""modrinth"", ""kind"": ""mod"", ""slug"": ""cobblemon-trainer-structures"", ""file_id"": ""ZBVmoZXN"", ""file_name"": ""cobblemonopponents-fabric-1.7.0.jar"", ""download_url"": ""https://cdn.modrinth.com/data/12e2QV8Q/versions/ZBVmoZXN/cobblemonopponents-fabric-1.7.0.jar"", ""game_ok"": true, ""loader_ok"": false, ""loaders"": ""fabric"", ""game_versions"": ""1.21.1""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,dynamiclights,Dynamic Lights,dynamiclights-v1.9.1-mc1.17-1.21.11-mod.jar,dynamic-lights,mc-mods,7906440,https://www.curseforge.com/minecraft/mc-mods/dynamic-lights/files/7906440,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""dynamic-lights"", ""project_id"": ""227874"", ""file_id"": ""7906440"", ""file_name"": ""dynamiclights-26.1.2.1NF.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/dynamic-lights-227874/7906440/dynamic-lights-227874-7906440.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/7906/440/dynamiclights-26.1.2.1NF.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""26.1.2;NeoForge"", ""display"": ""DynamicLights 26.1.2.1NF""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,entity_model_features,Entity Model Features,entity_model_features_1.21-fabric-3.0.12.jar,entity-model-features,mc-mods,8063560,https://www.curseforge.com/minecraft/mc-mods/entity-model-features/files/8063560,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""entity-model-features"", ""project_id"": ""844662"", ""file_id"": ""8063560"", ""file_name"": ""entity_model_features-3.2.4-1.21.11-neoforge.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/entity-model-features-844662/8063560/entity-model-features-844662-8063560.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/8063/560/entity_model_features-3.2.4-1.21.11-neoforge.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21.11;Client;NeoForge"", ""display"": ""3.2.4-neoforge-1.21.11""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,entity_texture_features,Entity Texture Features,entity_texture_features_1.21-fabric-7.0.9.jar,entity-texture-features-fabric,mc-mods,7930637,https://www.curseforge.com/minecraft/mc-mods/entity-texture-features-fabric/files/7930637,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""entity-texture-features-fabric"", ""project_id"": ""568563"", ""file_id"": ""7930637"", ""file_name"": ""entity_texture_features_1.21.11-neoforge-7.1.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/entity-texture-features-fabric-568563/7930637/entity-texture-features-fabric-568563-7930637.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/7930/637/entity_texture_features_1.21.11-neoforge-7.1.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""1.21.11;Client;NeoForge"", ""display"": ""NeoForge - 1.21.11 - 7.1""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
already_downloaded_target_exists,unknown:EuphoriaPatcher-1.8.6-r5.7.1-fabric,EuphoriaPatcher-1.8.6-r5.7.1-fabric,EuphoriaPatcher-1.8.6-r5.7.1-fabric.jar,euphoria-patches,mc-mods,8177588,https://www.curseforge.com/minecraft/mc-mods/euphoria-patches/files/8177588,FactorMoon\_factor_moon_reports\downloads\curseforge\EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar,FactorMoon\mods\EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""euphoria-patches"", ""project_id"": ""915902"", ""file_id"": ""8177588"", ""file_name"": ""EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/euphoria-patches-915902/8177588/euphoria-patches-915902-8177588.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/8177/588/EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar"", ""game_ok"": true, ""loader_ok"": true, ""versions"": ""1.21;1.21.1;1.21.10;1.21.11;1.21.2;1.21.3;1.21.4;1.21.5;1.21.6;1.21.7;1.21.8;1.21.9;26.1;26.1.1;26.1.2;Client;NeoForge"", ""display"": ""Euphoria Patcher 1.9.3-r5.8.1-neoforge""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,forgeconfigapiport,Forge Config API Port,ForgeConfigAPIPort-v21.1.6-1.21.1-Fabric.jar,forge-config-api-port,mc-mods,7213611,https://www.curseforge.com/minecraft/mc-mods/forge-config-api-port/files/7213611,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,hugestructureblocks,Huge Structure Blocks,huge-structure-blocks-fabric-1.1.6.jar,huge-structure-blocks,mc-mods,7065481,https://www.curseforge.com/minecraft/mc-mods/huge-structure-blocks/files/7065481,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,legendarymonuments,Legendary Monuments,LegendaryMonuments-Cobbleverse.jar,legendary-monuments-cobblemon,mc-mods,7095325,https://www.curseforge.com/minecraft/mc-mods/legendary-monuments-cobblemon/files/7095325,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
error:HTTPError,notenoughcrashes,Not Enough Crashes,notenoughcrashes-fabric-4.4.9+1.21.1.jar,not-enough-crashes-forge,mc-mods,6598103,https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes-forge/files/6598103,,,HTTP Error 404: Not Found,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_already_installed,smart_particles,Smart Particles,smart_particles%2Bmc1.21.1-1.01.10.jar,smart-particles,mc-mods,7470043,https://www.curseforge.com/minecraft/mc-mods/smart-particles/files/7470043,,,smart_particles,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
installed,tooltipfix,ToolTip Fix,tooltipfix-1.1.1-1.20.jar,better-tooltips-neoforge,mc-mods,6372309,https://www.curseforge.com/minecraft/mc-mods/better-tooltips-neoforge/files/6372309,FactorMoon\_factor_moon_reports\downloads\curseforge\better_tooltips-1.0.3.jar,FactorMoon\mods\better_tooltips-1.0.3.jar,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""better-tooltips-neoforge"", ""project_id"": ""1099922"", ""file_id"": ""6372309"", ""file_name"": ""better_tooltips-1.0.3.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/better-tooltips-neoforge-1099922/6372309/better-tooltips-neoforge-1099922-6372309.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/6372/309/better_tooltips-1.0.3.jar"", ""game_ok"": true, ""loader_ok"": true, ""versions"": ""1.21;1.21.1;Client;NeoForge"", ""display"": ""better_tooltips-1.0.3.jar""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_wrong_game_version,trinkets,Trinkets,trinkets-3.10.0.jar,trinkets-updated,mc-mods,8187944,https://www.curseforge.com/minecraft/mc-mods/trinkets-updated/files/8187944,,,"{""source"": ""curseforge"", ""kind"": ""mc-mods"", ""slug"": ""trinkets-updated"", ""project_id"": ""1509777"", ""file_id"": ""8187944"", ""file_name"": ""trinkets-4.0.0-beta.2+26.1.jar"", ""download_url"": ""https://cursemaven.com/curse/maven/trinkets-updated-1509777/8187944/trinkets-updated-1509777-8187944.jar"", ""fallback_download_url"": ""https://edge.forgecdn.net/files/8187/944/trinkets-4.0.0-beta.2+26.1.jar"", ""game_ok"": false, ""loader_ok"": true, ""versions"": ""26.1;26.1.1;26.1.2;Fabric;NeoForge"", ""display"": ""trinkets-4.0.0-beta.2+26.1.jar""}",no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
skipped_already_installed,zamega,zamega,zamega-fabric-1.5.4.jar,navas-za-megas,mc-mods,7961237,https://www.curseforge.com/minecraft/mc-mods/navas-za-megas/files/7961237,,,zamega,no final NeoForge equivalent present; needs manual download/check or port,"download provided link, verify NeoForge/1.21.1 metadata, then install"
