group,file,title,chapter_id,quest_count,task_count,reward_count,missing_namespaces,custom_task_types,namespaces
Ungrouped,01_first_steps.snbt,01_first_steps,7B0E8ED392D7E92E,12,36,12,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks, comforts, minecraft, sophisticatedbackpacks"
Ungrouped,02_into_the_wild.snbt,02_into_the_wild,72771830F648E15C,14,44,14,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks"
Ungrouped,03_trainers_nest.snbt,03_trainers_nest,2D3DBC4B8DA5DF69,10,25,10,,,"cobblemon, comforts, minecraft, sophisticatedbackpacks, sophisticatedstorage"
Ungrouped,04_pokedex_chronicles.snbt,04_pokedex_chronicles,5652C262A645BE87,12,30,12,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks"
Ungrouped,05_raid_frontline.snbt,05_raid_frontline,5BCDEB69D0EEEDBD,12,32,12,,,"cobblemon, cobblemonraiddens"
Ungrouped,06_bond_and_breed.snbt,06_bond_and_breed,098E5F8DD4A18048,10,21,10,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks, minecraft"
Ungrouped,07_type_gauntlet.snbt,07_type_gauntlet,3B0E74259E5F2E00,14,32,14,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks"
Ungrouped,08_legendary_hunt.snbt,08_legendary_hunt,4965AD115D2723FC,10,25,10,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks, minecraft"
Ungrouped,09_elite_challenge.snbt,09_elite_challenge,2B516BF2001C863A,10,25,10,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks, minecraft"
Ungrouped,10_champion.snbt,10_champion,1227E82C0378D8AC,8,22,8,cobblemon_tasks,cobblemon_tasks:cobblemon_task,"cobblemon, cobblemon_tasks, cobblemonraiddens, minecraft"
Ungrouped,11_relics_transport.snbt,11_relics_transport,1E17070F9660AF16,4,8,4,,,"artifacts, cobblemon, cobblemon_wonder_trade, minecraft"
Resources,apotheosis_2.snbt,Apothic Spawners,0E81CBCD6B1D1895,38,43,30,"ars_additions, draconicevolution, enderio, evilcraft, industrialforegoing, mysticalagriculture, pneumaticcraft, reliquary",,"apothic_enchanting, ars_additions, atm, draconicevolution, enderio, evilcraft, ftbfiltersystem, industrialforegoing, minecraft, mob_grinding_utils, mysticalagriculture, pneumaticcraft, reliquary"
Tools and Gear,apotheosis_gear.snbt,Apotheosis Gear,0731FA8830F28280,50,68,28,allthemodium,,"allthemodium, apotheosis, atm, ftbfiltersystem, gateways, minecraft"
Magic,apothic_enchanting.snbt,Apothic Enchanting,12AD9789D962B179,56,102,47,,,"apothic_enchanting, atm, constructionstick, ftbfiltersystem, minecraft, naturescompass"
Storage,applied_energistics_2.snbt,Applied Energistics 2,07210DDF872160BA,73,106,71,,,"ae2, ae2wtlib, aeinfinitybooster, atm, ftbfiltersystem, ftbquests, megacells, minecraft"
Tools and Gear,artifacts.snbt,Artifacts,7AF827D2D101D343,63,50,50,,,"artifacts, atm, relics"
Exploration,cataclysm.snbt,Cataclysm,59395B6806F2A98A,146,134,93,dyenamics,,"atm, cataclysm, dyenamics, minecraft"
Tech,create.snbt,Create,100C477F4E63F20A,206,271,88,"alltheores, the_bumblezone",,"alltheores, atm, create, ftbfiltersystem, minecraft, supplementaries, the_bumblezone"
Storage,extended__advanced_ae.snbt,Extended \\& Advanced AE,51A2FE60D8B76FC6,68,101,49,"allthetweaks, enderio",,"advanced_ae, ae2, allthetweaks, atm, enderio, extendedae, ftbfiltersystem, ftbquests, minecraft"
Power,generators.snbt,Generators N Furnaces,73180B829B960E63,88,120,45,"allthetweaks, generatorgalore",,"allthetweaks, atm, ftbfiltersystem, generatorgalore, ironfurnaces, minecraft"
Exploration,ice__fire.snbt,&bIce &fand &cFire,5D8E83698AEF1092,126,198,86,"allthemodium, alltheores",,"allthemodium, alltheores, apotheosis, atm, ftbfiltersystem, ftbquests, iceandfire, minecraft"
Tech,justdirethings.snbt,Just Dire Things,4EAAE0CEB26378A6,157,186,144,"actuallyadditions, allthetweaks, mekanism",,"actuallyadditions, allthetweaks, ftbfiltersystem, justdirethings, mekanism, patchouli"
Logistics,modular_router.snbt,Modular Routers,0AB4F9AED808DE48,64,106,46,,,"atm, ftbfiltersystem, modularrouters"
Power,powah.snbt,Powah,2A6EBEEBAB882679,147,118,108,allthetweaks,,"allthetweaks, atm, ftbfiltersystem, ftbquests, minecraft, powah"
Resources,productive_trees.snbt,Productive Trees,1FAAEF0B9FD05CB9,169,411,166,"allthetweaks, productivelib",,"allthetweaks, ftbfiltersystem, minecraft, patchouli, productivelib, productivetrees"
Logistics,pylons.snbt,Pylons,5712300EF4E5E846,21,21,10,,,"atm, ftbfiltersystem, minecraft, pylons"
Tech,railcraft.snbt,RailCraft,2FB24A5A597459FC,75,82,51,"cookingforblockheads, mekanism",,"atm, cookingforblockheads, ftbfiltersystem, mekanism, minecraft, railcraft, utilitarian"
Tools and Gear,relics.snbt,Relics,11919EBB416B2BD0,43,54,21,"aquaculture, ars_nouveau",,"aquaculture, ars_nouveau, atm, ftbquests, minecraft, relics"
Tools and Gear,silent_gear.snbt,Silent Gear,1D42B373285DEF81,71,192,68,mysticalagriculture,,"atm, ftbfiltersystem, minecraft, mysticalagriculture, productivemetalworks, sgearmetalworks, silentgear"
