score,instance,matched_mod_ids,file_name,source,size,sha1,metadata,loaders,display_names
80,cobblemon-extra,cobblemon_shiny_rarities,cobblemon_shiny_rarities-0.2.1.jar,cobblemon-extra\mods\cobblemon_shiny_rarities-0.2.1.jar,12587812,fc971c97c96a6979d605028ba43b9c411025f275,fabric.mod.json;META-INF/neoforge.mods.toml,fabric;neoforge,Cobblemon Shiny Rarities
80,cobblemon-extra,mr_cobblemon_alphas,cobblemon-alphas-2.2.jar,cobblemon-extra\mods\cobblemon-alphas-2.2.jar,919007,26ad77dbff6995cf81c7f0abf71c925793a9dbb6,fabric.mod.json;META-INF/neoforge.mods.toml,fabric;neoforge,Cobblemon Alphas
80,cobblemon-extra,mr_cobblemon_journeymounts,cobblemon-journey-mounts-1.7.30-cobbleverse-CF.jar,cobblemon-extra\mods\cobblemon-journey-mounts-1.7.30-cobbleverse-CF.jar,3508373,8c6a5cb5fe20078dbaa236a83ef2823f8ba90beb,fabric.mod.json;META-INF/neoforge.mods.toml,fabric;neoforge,Cobblemon Journey Mounts
30,Lucky World Invasion-2.7.2,krypton,KryptonReforged-0.2.3.jar,Lucky World Invasion-2.7.2\mods\KryptonReforged-0.2.3.jar,206758,92690482dad46a8c9cf28e4b6b26e49f4dc67095,META-INF/mods.toml,forge,Krypton Reforged
30,Lucky World Invasion-2.7.2,packetfixer,packetfixer-3.1.4-1.18-1.20.4-merged.jar,Lucky World Invasion-2.7.2\mods\packetfixer-3.1.4-1.18-1.20.4-merged.jar,163268,1cdf5d8b637922b12bc72c575ce1428f1f2cae2a,fabric.mod.json;META-INF/neoforge.mods.toml;META-INF/mods.toml,fabric;neoforge;forge,Packet Fixer;PacketFixer
30,cobblemon-extra,packetfixer,packetfixer-3.3.1-1.20.5-1.21.X-merged.jar,cobblemon-extra\mods\packetfixer-3.3.1-1.20.5-1.21.X-merged.jar,46623,a8bb6e25807682e72c23bf4065f3cd5f6373ece3,fabric.mod.json;META-INF/neoforge.mods.toml,fabric;neoforge,Packet Fixer;PacketFixer
0,cobblemon-extra,globalpacks,globalpacks-fabric-1.21.1-21.0.6.jar,cobblemon-extra\mods\globalpacks-fabric-1.21.1-21.0.6.jar,394707,6a0c4ccf2a8bc916173defc3c49c8e95285e66b9,fabric.mod.json;META-INF/neoforge.mods.toml;META-INF/mods.toml,fabric;neoforge;forge,Global Data- & Resourcepacks;Global Packs
-20,Lucky World Invasion-2.7.2,defaultoptions,defaultoptions-forge-1.20-18.0.1.jar,Lucky World Invasion-2.7.2\mods\defaultoptions-forge-1.20-18.0.1.jar,87943,d19f874852def4ef73b32caf3f218e6423d51677,META-INF/mods.toml,forge,Default Options
-20,Lucky World Invasion-2.7.2,particlerain,Pretty Rain-1.20.1-Forge-1.1.3.jar,Lucky World Invasion-2.7.2\mods\Pretty Rain-1.20.1-Forge-1.1.3.jar,601125,9b787b001c0b573927e21fd7b04254f0170e8157,META-INF/mods.toml,forge,Pretty Rain
-20,Lucky World Invasion-2.7.2,particular,particular-1.20.1-Forge-1.2.4.jar,Lucky World Invasion-2.7.2\mods\particular-1.20.1-Forge-1.2.4.jar,421834,4dc0cfd572151816c939d2896ad8f13838cb7cf6,META-INF/mods.toml,forge,Particular
-20,Lucky World Invasion-2.7.2,sound_physics_remastered,sound-physics-remastered-forge-1.20.1-1.4.15.jar,Lucky World Invasion-2.7.2\mods\sound-physics-remastered-forge-1.20.1-1.4.15.jar,204486,a1678721a328eb2e68c259b208e8043cca606dd5,META-INF/mods.toml,forge,Sound Physics Remastered
