mod_id,name,fabric_file,source_path,size,mod_ids,display_names,loaders,metadata,class_count,java_or_kt_sources_inside,mixin_files,lang_count,data_count,asset_count,fabric_depends,fabric_entrypoints,fabric_provides,port_risk,reason,next_action
cardinal-components,Cardinal Components API,cardinal-components-api-6.1.3.jar,cobblemon-extra\mods\cardinal-components-api-6.1.3.jar,229645,cardinal-components,Cardinal Components API,fabric,fabric.mod.json,0,0,,0,0,3,{},{},,resource_or_datapack_only,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
cobblecuisine,CobbleCuisine,cobblecuisine-2.0.1-1.7-rc1.jar,cobblemon-extra\mods\cobblecuisine-2.0.1-1.7-rc1.jar,683115,cobblecuisine,CobbleCuisine,fabric,fabric.mod.json,61,0,,3,320,492,"{""cobblemon"": "">=1.7.0"", ""fabricloader"": "">=0.17.2"", ""minecraft"": ""1.21.1""}","{""client"": [""com.fyre.cobblecuisine.client.CobbleCuisineClient""], ""main"": [""com.fyre.cobblecuisine.CobbleCuisine""], ""modmenu"": [""com.fyre.cobblecuisine.config.CobbleCuisineModMenuCompat""]}",,code+fabric_api,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
cobblemonbattlepositions,Cobblemon Battle Positions,cobblemon-battle-positions-1.1.3.jar,cobblemon-extra\mods\cobblemon-battle-positions-1.1.3.jar,58572,cobblemonbattlepositions,Cobblemon Battle Positions,fabric,fabric.mod.json,24,0,cobblemonbattlepositions.mixins.json,1,18,26,"{""cobblemon"": "">=1.7.0"", ""fabric-api"": ""*"", ""fabricloader"": "">=0.17.3"", ""java"": "">=21"", ""minecraft"": ""~1.21.1"", ""rctapi"": "">=0.14.0""}","{""main"": [""com.pokemon.battlepositions.CobblemonBattlePositions""]}",,mixin_code+fabric_api,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
cobblemon_extra_ride_compat,Cobblemon Extra Ride Compat,cobblemon-extra-ride-compat-0.1.0.jar,cobblemon-extra\mods\cobblemon-extra-ride-compat-0.1.0.jar,14287,cobblemon_extra_ride_compat,Cobblemon Extra Ride Compat,fabric,fabric.mod.json,1,0,cobblemon-extra-ride-compat.mixins.json,0,7,0,"{""cobblemon"": ""*"", ""fabric-resource-loader-v0"": ""*""}",{},,mixin_code,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
cobblemon_extra_ride_compat,Cobblemon Extra Ride Compat,cobblemon-extra-ride-compat-0.1.0.pre-seat-fix-backup.jar,cobblemon-extra\mods\cobblemon-extra-ride-compat-0.1.0.pre-seat-fix-backup.jar,14718,cobblemon_extra_ride_compat,Cobblemon Extra Ride Compat,fabric,fabric.mod.json,1,0,cobblemon-extra-ride-compat.mixins.json,0,11,0,"{""fabric-resource-loader-v0"": ""*""}",{},,mixin_code,duplicate Fabric jar / backup copy,no user link provided; port to NeoForge or skip if low value
cobblemon-fight-them-all,Cobblemon: Fight Them All,cobblemon-fight-them-all-1.0.4-cobblemon-1.7.3.jar,cobblemon-extra\mods\cobblemon-fight-them-all-1.0.4-cobblemon-1.7.3.jar,365955,cobblemon-fight-them-all,Cobblemon: Fight Them All,fabric,fabric.mod.json,56,0,cobblemon-fight-them-all.client.mixins.json;cobblemon-fight-them-all.mixins.json,0,0,1,"{""cardinal-components"": "">=6.1.2"", ""cobblemon"": "">=1.7.0"", ""fabric-api"": ""*"", ""fabric-language-kotlin"": ""*"", ""fabricloader"": "">=0.16.10"", ""java"": "">=21"", ""minecraft"": ""~1.21.1"", ""yet_another_config_lib_v3"": "">=3.6.1""}","{""cardinal-components"": [{""adapter"": ""kotlin"", ""value"": ""com.zero_delusions.fight_them_all.nbt.NbtComponents""}], ""client"": [{""adapter"": ""kotlin"", ""value"": ""com.zero_delusions.fight_them_all.CobblemonFightThemAllClient""}], ""main"": [{""adapter"": ""kotlin"", ""value"": ""com.zero_delusions.fight_them_all.core.CobblemonFightThemAll""}], ""modmenu"": [{""adapter"": ""kotlin"", ""value"": ""com.zero_delusions.fight_them_all.core.config.ConfigModMenuIntegration""}]}",,mixin_code+fabric_api,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
unknown:CobbleverseBadges-1.3,CobbleverseBadges-1.3,CobbleverseBadges-1.3.jar,cobblemon-extra\mods\CobbleverseBadges-1.3.jar,137015,,,fabric,fabric.mod.json,34,0,,2,7,95,{},{},,code,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
unknown:Debugify-1.21.1+1.0,Debugify-1.21.1+1.0,Debugify-1.21.1+1.0.jar,cobblemon-extra\mods\Debugify-1.21.1+1.0.jar,292202,,,fabric,fabric.mod.json,97,0,debugify.client.mixins.json;debugify.mixins.json,9,0,12,{},{},,mixin_code,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
interactic,Interactic,interactic-0.2.3+1.21.jar,cobblemon-extra\mods\interactic-0.2.3+1.21.jar,118011,interactic,Interactic,fabric,fabric.mod.json,32,0,interactic.mixins.json,1,0,15,"{""fabric"": ""*"", ""fabricloader"": "">=0.4.0"", ""minecraft"": "">=1.20.3"", ""owo"": "">=0.11.3""}","{""client"": [""interactic.InteracticClientInit""], ""main"": [""interactic.InteracticInit""]}",,mixin_code+fabric_api,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
cozyhome,Cozy Home,Luckys-Cozyhome-Refurnished-1.1.20.jar,cobblemon-extra\mods\Luckys-Cozyhome-Refurnished-1.1.20.jar,3121070,cozyhome,Cozy Home,fabric,fabric.mod.json,173,0,cozyhome.mixins.json,3,862,2878,"{""fabric-api"": ""*"", ""fabricloader"": "">=0.16.5"", ""java"": "">=21"", ""minecraft"": ""~1.21""}","{""client"": [""net.luckystudio.cozyhome.CozyHomeClient""], ""fabric-datagen"": [""net.luckystudio.cozyhome.CozyHomeDataGenerator""], ""main"": [""net.luckystudio.cozyhome.CozyHome""]}",,mixin_code+fabric_api,no final NeoForge equivalent present; needs manual download/check or port,no user link provided; port to NeoForge or skip if low value
