wanted_mod_id,query,hit_slug,hit_title,project_id,client_side,server_side,source_url,project_url,neoforge_1_21_1_matches
cardinal-components,Cardinal Components API,cardinal-components-api,Cardinal Components API,K01OU20C,optional,required,,https://modrinth.com/mod/cardinal-components-api,[]
cardinal-components,Cardinal Components API,ccaforge,Cardinal Components API Forge,f5np5atu,required,required,,https://modrinth.com/mod/ccaforge,[]
cobblecuisine,CobbleCuisine,cobblecuisine,CobbleCuisine,dlx62Wp3,required,required,,https://modrinth.com/mod/cobblecuisine,[]
cobblecuisine,CobbleCuisine,cobblecuisine-delight,CobbleCuisine Delight,F9kN1Ue1,unknown,unknown,,https://modrinth.com/mod/cobblecuisine-delight,[]
cobblecuisine,CobbleCuisine,cobblecuisine-sheared,CobbleCuisine x Last Resort,evw9Q4b8,optional,required,,https://modrinth.com/mod/cobblecuisine-sheared,[]
cobblecuisine,CobbleCuisine,cobblecuisine-friends,CobbleCuisine Friends,aOk5AlFb,unknown,unknown,,https://modrinth.com/mod/cobblecuisine-friends,[]
cobblemon-fight-them-all,Cobblemon Fight Them All,cobblemon-fight-them-all,Cobblemon: Fight Them All,CTXZvByu,required,required,,https://modrinth.com/mod/cobblemon-fight-them-all,[]
CobbleverseBadges,CobbleverseBadges,cobbleverse-badges,COBBLEVERSE: Badges & Trophies,PHT3Zj0r,required,required,,https://modrinth.com/mod/cobbleverse-badges,[]
CobbleverseBadges,CobbleverseBadges,cobbleverse,COBBLEVERSE - Pokemon Adventure [Cobblemon],Jkb29YJU,required,required,,https://modrinth.com/mod/cobbleverse,[]
Debugify,Debugify,debugify,Debugify,QwxR6Gcd,optional,optional,,https://modrinth.com/mod/debugify,[]
Interactic,Interactic,interactic,Interactic,ErpAAAaf,required,optional,,https://modrinth.com/mod/interactic,[]
Interactic,Interactic,interactic-updated,Interactic Updated,P9ScF9TQ,optional,optional,,https://modrinth.com/mod/interactic-updated,[]
Interactic,Interactic,interactic-renewed,Interactic Renewed,BM12h14f,required,optional,,https://modrinth.com/mod/interactic-renewed,[]
Lucky Cozy Home Refurnished,Cozy Home,cozy-home,Lucky's Cozy Home: Refurnished,TNcLBDkY,required,required,,https://modrinth.com/mod/cozy-home,[]
Lucky Cozy Home Refurnished,Cozy Home,homestead,Homestead,6HvKwSky,required,required,,https://modrinth.com/mod/homestead,[]
Lucky Cozy Home Refurnished,Cozy Home,homestead-gui,Homestead GUI,LFGEjzMT,required,unsupported,,https://modrinth.com/mod/homestead-gui,[]
Lucky Cozy Home Refurnished,Cozy Home,homelands,Homelands,bEH3O5a3,required,required,,https://modrinth.com/mod/homelands,[]
Lucky Cozy Home Refurnished,Cozy Home,pumpkin-survival-house,Pumpkin Survival House,9GNCphct,required,required,,https://modrinth.com/mod/pumpkin-survival-house,"[{""version_number"": ""1.0.0"", ""version_id"": ""oclA6U5e"", ""loaders"": ""neoforge"", ""game_versions"": ""1.21.1"", ""files"": ""pumpkin_survival_house-1.0.0-neoforge-1.21.1.jar""}]"
Lucky Cozy Home Refurnished,Cozy Home,daves-mixtape-vol.2,Daves Mixtape Vol.2,sjiykqFV,required,required,,https://modrinth.com/mod/daves-mixtape-vol.2,[]
Lucky Cozy Home Refurnished,Cozy Home,vibecraft+,VibeCraft+,QvnCggK2,required,required,,https://modrinth.com/mod/vibecraft+,[]
Lucky Cozy Home Refurnished,Cozy Home,siestasmp,SiestaSMP Modpack,tGfBoB1G,required,required,,https://modrinth.com/mod/siestasmp,[]
LumyMon,LumyMon,lumymon,LumyMon,QAX8WiBc,required,required,,https://modrinth.com/mod/lumymon,[]
LumyREI,LumyREI,lumyrei,LumyREI,FVADf9wU,required,unsupported,,https://modrinth.com/mod/lumyrei,[]
Only Bottle Caps,Only Bottle Caps,only-bottle-caps,Only Bottle Caps,tDRRddpZ,required,required,,https://modrinth.com/mod/only-bottle-caps,[]
Poke Clothing,Poke Clothing,poke-clothing,Poke Clothing,enyi2m8u,required,required,,https://modrinth.com/mod/poke-clothing,[]
Pokeblocks,Pokeblocks,pokeblocks,Pokeblocks,hnOfcjSq,required,required,,https://modrinth.com/mod/pokeblocks,[]
Pokeblocks,Pokeblocks,the-better-pokeblocks-modpack,The Better Pokeblocks Modpack,VALWnGO1,required,required,,https://modrinth.com/mod/the-better-pokeblocks-modpack,[]
Pokeblocks,Pokeblocks,cobblemon-accessories,Cobblemon Accessories & More,B9CzigoH,required,unsupported,,https://modrinth.com/mod/cobblemon-accessories,[]
Pokeblocks,Pokeblocks,pokedoll-recipes,Pokedoll Recipes,o5mdiXkG,optional,required,,https://modrinth.com/mod/pokedoll-recipes,[]
Resource Pack Options,Resource Pack Options,resource-pack-organizer,Resource Pack Organizer,MFYWYS0q,required,unsupported,,https://modrinth.com/mod/resource-pack-organizer,[]
Resource Pack Options,Resource Pack Options,lunar-pack-display,Lunar Pack Display,3UYFLvMx,required,unsupported,,https://modrinth.com/mod/lunar-pack-display,[]
Resource Pack Options,Resource Pack Options,blu-rae,Blu-RAE,V1qro74x,required,unsupported,,https://modrinth.com/mod/blu-rae,[]
Resource Pack Options,Resource Pack Options,movs-zume-chinese-translation,[Mov的zume汉化]Mov's Zume Chinese Translation,rONYn9N8,required,unsupported,,https://modrinth.com/mod/movs-zume-chinese-translation,[]
StackDeobfuscator,StackDeobfuscator,stackdeobf,StackDeobfuscator,NusMqsjF,optional,optional,,https://modrinth.com/mod/stackdeobf,[]
trinkets,Trinkets,trinkets,Trinkets,5aaWibi9,required,required,,https://modrinth.com/mod/trinkets,[]
trinkets,Trinkets,xp-storage-trinkets,XP Storage - Trinkets,GZeDW6Px,required,required,,https://modrinth.com/mod/xp-storage-trinkets,[]
trinkets,Trinkets,accessories-tc-layer,[Deprecated] Trinkets Compat Layer for Accessories,TkWgV1AW,required,required,,https://modrinth.com/mod/accessories-tc-layer,[]
trinkets,Trinkets,trinkets-and-baubles-reforked,Trinkets and Baubles Reforked,45CeEOgI,required,required,,https://modrinth.com/mod/trinkets-and-baubles-reforked,"[{""version_number"": ""1.2.3"", ""version_id"": ""2d6pRtJp"", ""loaders"": ""neoforge"", ""game_versions"": ""1.21.1"", ""files"": ""trinketsandbaubles-1.2.3.jar""}, {""version_number"": ""1.2.2"", ""version_id"": ""rBGsxntT"", ""loaders"": ""neoforge"", ""game_versions"": ""1.21.1"", ""files"": ""trinketsandbaubles-1.2.2.jar""}, {""version_number"": ""1.2.1"", ""version_id"": ""hTRIP66L"", ""loaders"": ""neoforge"", ""game_versions"": ""1.21.1"", ""files"": ""trinketsandbaubles-1.2.1.jar""}, {""version_number"": ""1.2.0"", ""version_id"": ""NE9DKSEz"", ""loaders"": ""neoforge"", ""game_versions"": ""1.21.1"", ""files"": ""trinketsandbaubles-1.2.0.jar""}]"
