decision,destination,source,kind,slug,file_or_version,expected_mod_id,matched_missing_mod_id,matched_missing_name,match_score,note,url
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,accessories-compat-layer,7585673,accessories_compat_layer,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/accessories-compat-layer/files/7585673
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,accessories,7583320,accessories,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/accessories/files/7583320
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,advancementdisable,5510148,advancementdisable,cardinal-components,Cardinal Components API,0.462,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/advancementdisable/files/5510148
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,advancement-plaques,8124727,advancementplaques,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/advancement-plaques/files/8124727
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,beautify-decorate,5947973,beautify,niftycarts,NiftyCarts,0.462,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/beautify-decorate/files/5947973
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,better-beds,5437846,betterbeds,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/better-beds/files/5437846
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,better-f1-reborn,5673620,betterf1,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/better-f1-reborn/files/5673620
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,betterf3,7436342,betterf3,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/betterf3/files/7436342
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,better-third-person,5833474,betterthirdperson,,,,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/better-third-person/files/5833474
already_present_or_equivalent,mods,www.curseforge.com,mc-mods,biome-replacer,7451481,biome_replacer,immersive_aircraft,Immersive Aircraft,0.533,a matching/equivalent mod id is already present in FactorMoon,https://www.curseforge.com/minecraft/mc-mods/biome-replacer/files/7451481
